zone_id,mn_code,municipality
736007,382,Östhammar
738223,382,Östhammar
887065,428,Vingåker
742801,428,Vingåker
742802,428,Vingåker
742803,428,Vingåker
742804,428,Vingåker
742805,428,Vingåker
742806,428,Vingåker
742807,428,Vingåker
742808,428,Vingåker
746102,461,Gnesta
746104,461,Gnesta
746105,461,Gnesta
746106,461,Gnesta
748001,480,Nyköping
748002,480,Nyköping
748003,480,Nyköping
748004,480,Nyköping
748005,480,Nyköping
748006,480,Nyköping
748007,480,Nyköping
748008,480,Nyköping
748009,480,Nyköping
748010,480,Nyköping
748011,480,Nyköping
748012,480,Nyköping
748013,480,Nyköping
748015,480,Nyköping
748016,480,Nyköping
748017,480,Nyköping
748018,480,Nyköping
748019,480,Nyköping
748020,480,Nyköping
748021,480,Nyköping
748028,480,Nyköping
748034,480,Nyköping
748038,480,Nyköping
748039,480,Nyköping
748040,480,Nyköping
748041,480,Nyköping
748042,480,Nyköping
748043,480,Nyköping
748044,480,Nyköping
748045,480,Nyköping
748046,480,Nyköping
748047,480,Nyköping
748048,480,Nyköping
748049,480,Nyköping
748050,480,Nyköping
748051,480,Nyköping
748052,480,Nyköping
748053,480,Nyköping
748054,480,Nyköping
748055,480,Nyköping
748056,480,Nyköping
748057,480,Nyköping
748058,480,Nyköping
748059,480,Nyköping
748061,480,Nyköping
748062,480,Nyköping
748063,480,Nyköping
748064,480,Nyköping
748215,480,Nyköping
748014,481,Oxelösund
748101,481,Oxelösund
748103,481,Oxelösund
748104,481,Oxelösund
748105,481,Oxelösund
748106,481,Oxelösund
748107,481,Oxelösund
748108,481,Oxelösund
748110,481,Oxelösund
748111,481,Oxelösund
748112,481,Oxelösund
748208,482,Flen
748216,482,Flen
748217,482,Flen
748219,482,Flen
748201,482,Flen
748202,482,Flen
748203,482,Flen
748204,482,Flen
748205,482,Flen
748206,482,Flen
748207,482,Flen
748209,482,Flen
748210,482,Flen
748211,482,Flen
748212,482,Flen
748213,482,Flen
748214,482,Flen
748218,482,Flen
748466,482,Flen
748302,483,Katrineholm
748303,483,Katrineholm
748304,483,Katrineholm
748311,483,Katrineholm
748312,483,Katrineholm
748313,483,Katrineholm
748315,483,Katrineholm
748323,483,Katrineholm
748324,483,Katrineholm
748326,483,Katrineholm
748327,483,Katrineholm
748333,483,Katrineholm
748334,483,Katrineholm
748335,483,Katrineholm
748336,483,Katrineholm
748337,483,Katrineholm
748338,483,Katrineholm
748339,483,Katrineholm
748340,483,Katrineholm
748341,483,Katrineholm
748342,483,Katrineholm
748343,483,Katrineholm
748344,483,Katrineholm
748345,483,Katrineholm
748346,483,Katrineholm
748347,483,Katrineholm
748348,483,Katrineholm
748349,483,Katrineholm
748350,483,Katrineholm
748351,483,Katrineholm
748352,483,Katrineholm
748353,483,Katrineholm
748354,483,Katrineholm
748355,483,Katrineholm
748356,483,Katrineholm
748357,483,Katrineholm
748358,483,Katrineholm
748359,483,Katrineholm
748360,483,Katrineholm
748361,483,Katrineholm
748362,483,Katrineholm
748301,483,Katrineholm
748305,483,Katrineholm
748306,483,Katrineholm
748307,483,Katrineholm
748308,483,Katrineholm
748309,483,Katrineholm
748310,483,Katrineholm
748314,483,Katrineholm
748316,483,Katrineholm
748317,483,Katrineholm
748318,483,Katrineholm
748319,483,Katrineholm
748320,483,Katrineholm
748321,483,Katrineholm
748322,483,Katrineholm
748325,483,Katrineholm
748328,483,Katrineholm
748329,483,Katrineholm
748330,483,Katrineholm
748331,483,Katrineholm
748332,483,Katrineholm
748414,484,Eskilstuna
748430,484,Eskilstuna
748450,484,Eskilstuna
748452,484,Eskilstuna
748453,484,Eskilstuna
748454,484,Eskilstuna
748464,484,Eskilstuna
748465,484,Eskilstuna
748479,484,Eskilstuna
748480,484,Eskilstuna
747001,484,Eskilstuna
747002,484,Eskilstuna
747003,484,Eskilstuna
747004,484,Eskilstuna
747005,484,Eskilstuna
747006,484,Eskilstuna
747007,484,Eskilstuna
747008,484,Eskilstuna
747009,484,Eskilstuna
747011,484,Eskilstuna
747012,484,Eskilstuna
747013,484,Eskilstuna
748401,484,Eskilstuna
748402,484,Eskilstuna
748403,484,Eskilstuna
748404,484,Eskilstuna
748405,484,Eskilstuna
748406,484,Eskilstuna
748407,484,Eskilstuna
748408,484,Eskilstuna
748409,484,Eskilstuna
